name,age,lifestyle,zip code,family status,car,sports,earnings,label,Living area
YkiL3hPG,24.0,cozily,20122.0,single,practical,badminton,24389.0,no response,urban
FzbVi68D,47.0,active,43557.0,single,expensive,,115979.0,no response,rural
cAmqKr3E,58.0,cozily,45422.0,single,practical,badminton,125512.0,response,rural
meSLlsDr,54.0,active,39049.0,single,practical,soccer,58106.0,no response,rural
h8cFU8xZ,51.0,healthy,51994.0,married,practical,soccer,109468.0,no response,rural
UbcNhsBi,40.0,active,58315.0,single,expensive,badminton,57952.0,no response,rural
nJ2tATx4,65.0,active,94896.0,married,practical,athletics,47402.0,response,rural
13a8vQ3d,28.0,cozily,83854.0,single,practical,soccer,87285.0,no response,rural
ms7kvQ1h,44.0,cozily,76491.0,married,practical,badminton,61316.0,no response,urban
mNPrJCok,68.0,active,63961.0,married,expensive,soccer,54092.0,response,urban
uLesTOhx,15.0,cozily,71108.0,married,practical,athletics,78698.0,no response,urban
CATLXO8O,56.0,cozily,82835.0,single,practical,,63512.0,response,urban
zamLhLJM,57.0,active,10321.0,single,expensive,soccer,79263.0,response,urban
Z9nLYOd3,66.0,cozily,69458.0,married,expensive,badminton,96450.0,response,rural
KiSlLJtj,36.0,healthy,78510.0,married,practical,athletics,97491.0,no response,urban
qURcGDrR,19.0,active,94971.0,married,practical,athletics,113416.0,no response,rural
qJlQXfD0,68.0,cozily,28981.0,married,expensive,,83786.0,no response,urban
ZdUcVHMV,45.0,active,61132.0,single,expensive,soccer,64952.0,no response,urban
WoxMSfzB,35.0,healthy,31796.0,single,expensive,athletics,93559.0,no response,rural
67wSzOcP,59.0,active,86681.0,married,practical,soccer,102630.0,response,rural
rhkSkZ6X,59.0,cozily,72854.0,single,practical,badminton,141220.0,response,rural
aR8ZkRSf,67.0,cozily,11684.0,married,expensive,badminton,129735.0,response,urban
jsmebUjG,16.0,cozily,39363.0,married,expensive,athletics,45802.0,no response,urban
MjHC01PR,30.0,active,32323.0,married,practical,soccer,98925.0,no response,urban
drCalP5K,62.0,healthy,30676.0,married,practical,athletics,48604.0,no response,rural
d7GUIRwb,65.0,active,25242.0,married,expensive,soccer,73070.0,response,rural
wz16b2Wh,68.0,healthy,69697.0,married,expensive,soccer,59331.0,response,rural
TOrLzfCS,52.0,cozily,86626.0,married,practical,soccer,124014.0,no response,rural
ITg8HadT,45.0,healthy,65979.0,married,practical,soccer,136460.0,no response,urban
kwVG122G,22.0,healthy,48480.0,single,expensive,soccer,103454.0,no response,urban
gTIEVtVg,59.0,healthy,34093.0,single,practical,soccer,80012.0,no response,rural
kJz9IJlS,22.0,cozily,61126.0,single,practical,badminton,48629.0,no response,urban
QbDNGvUt,24.0,healthy,76439.0,single,expensive,badminton,123435.0,no response,urban
090ca9kJ,66.0,cozily,12327.0,married,expensive,athletics,133819.0,response,rural
Ir4xHnip,17.0,active,94864.0,married,practical,soccer,65063.0,no response,rural
kfF8BfcW,25.0,cozily,69514.0,single,expensive,,136781.0,response,urban
iyElztiL,58.0,healthy,24216.0,single,practical,athletics,114007.0,no response,rural
ul4UcZsD,15.0,cozily,16074.0,married,expensive,badminton,91692.0,no response,rural
kUOO2AnO,51.0,active,56855.0,single,practical,soccer,75831.0,no response,urban
YwwX4mtu,47.0,cozily,24732.0,married,expensive,soccer,77331.0,no response,rural
2uQoXFQG,23.0,healthy,51385.0,single,practical,athletics,78351.0,no response,urban
HYdHuHGC,54.0,healthy,64208.0,married,practical,soccer,29955.0,response,urban
yRUeSAir,15.0,cozily,32210.0,single,expensive,soccer,62273.0,no response,urban
fN90pzb9,61.0,healthy,50339.0,single,practical,athletics,36090.0,response,urban
H9fhimaJ,60.0,healthy,94952.0,married,practical,soccer,28995.0,response,rural
OWxN4PVd,52.0,active,17844.0,single,expensive,soccer,72578.0,no response,urban
xX7NsmGI,27.0,cozily,79970.0,single,practical,soccer,29578.0,no response,urban
Kv9WAdXj,39.0,healthy,11443.0,single,practical,badminton,43981.0,response,urban
neltptuV,69.0,healthy,67236.0,single,practical,badminton,73849.0,response,urban
8B0TYHsy,25.0,active,25971.0,single,practical,athletics,54438.0,no response,urban
MzYT0UQu,66.0,cozily,86689.0,married,practical,badminton,31668.0,response,rural
stD2jLWW,68.0,cozily,85629.0,married,practical,athletics,60949.0,response,urban
XcxgayS0,59.0,cozily,72072.0,single,expensive,athletics,80245.0,no response,urban
LUiKqsuT,54.0,healthy,76910.0,married,expensive,soccer,37506.0,no response,rural
fA791Y1x,44.0,healthy,31688.0,single,expensive,,86851.0,no response,rural
WVAB6LXa,51.0,active,35146.0,married,practical,athletics,115293.0,no response,rural
vM2QcGim,61.0,healthy,85445.0,single,practical,soccer,86054.0,response,urban
vVxcKUEm,67.0,active,28692.0,single,practical,soccer,32560.0,response,rural
xPYI7zEg,16.0,active,76640.0,married,expensive,soccer,55524.0,no response,urban
Qwy8ZSi1,16.0,active,20610.0,married,practical,athletics,50492.0,response,urban
FvM7sRv5,20.0,active,56811.0,married,practical,badminton,20604.0,response,urban
niBIzqvb,33.0,healthy,61303.0,married,practical,athletics,47944.0,no response,rural
BpucccAj,27.0,cozily,79313.0,single,expensive,athletics,34995.0,no response,rural
hRp17vnb,24.0,healthy,77730.0,single,expensive,soccer,77670.0,response,urban
yj9EsZWj,69.0,healthy,37400.0,married,practical,soccer,92079.0,response,urban
ZGiDP0Er,30.0,cozily,53185.0,married,expensive,athletics,60548.0,no response,urban
5mqco3XF,27.0,active,76956.0,single,expensive,athletics,26328.0,no response,rural
dTHuA29C,49.0,active,58250.0,single,expensive,soccer,32693.0,no response,rural
Yjkl1Ty3,16.0,cozily,55530.0,married,practical,soccer,149335.0,response,rural
sLNsHHcT,43.0,cozily,63343.0,single,expensive,athletics,24688.0,no response,rural
kWInSae2,31.0,active,30377.0,married,expensive,athletics,99055.0,no response,urban
bNnPEISc,55.0,healthy,73877.0,single,expensive,athletics,125616.0,no response,urban
KCEpk8XI,57.0,cozily,10875.0,married,practical,badminton,146961.0,response,urban
dXabs1sQ,21.0,healthy,64553.0,single,practical,soccer,80457.0,no response,urban
RhNVROnz,30.0,cozily,79870.0,single,expensive,athletics,90866.0,no response,urban
h8JH7n9W,16.0,healthy,76571.0,married,practical,badminton,60632.0,no response,rural
Z8NeYAUr,35.0,healthy,35898.0,single,practical,soccer,141347.0,response,urban
JGE4W6aT,53.0,healthy,98897.0,single,practical,badminton,76635.0,no response,rural
hbI3Oz5G,38.0,healthy,65674.0,single,practical,soccer,113611.0,no response,urban
idWANv5b,47.0,active,88664.0,married,expensive,athletics,65625.0,no response,urban
MX2PmAg1,43.0,cozily,59070.0,married,expensive,,141106.0,response,urban
olKl8ca1,23.0,active,47311.0,married,practical,athletics,40608.0,no response,rural
1d1QkXI8,36.0,cozily,53383.0,single,expensive,athletics,149371.0,response,rural
ZRjVdLr9,57.0,active,98446.0,married,expensive,athletics,125016.0,response,rural
nDVB82WA,34.0,active,82317.0,single,expensive,,135749.0,no response,rural
ewIsUbDF,50.0,active,59902.0,single,expensive,,144545.0,response,rural
LQ02Q640,28.0,cozily,80935.0,married,practical,soccer,109916.0,response,urban
npivuqjT,46.0,cozily,62104.0,married,practical,badminton,48690.0,no response,rural
Lim4wmC8,43.0,healthy,17441.0,married,practical,athletics,47162.0,no response,rural
FsdoBsTV,46.0,active,58215.0,married,practical,soccer,93354.0,no response,urban
QchrLC5q,25.0,active,97213.0,married,expensive,soccer,40076.0,no response,rural
tc6txQSQ,67.0,cozily,15370.0,single,expensive,,124809.0,response,rural
RINZQ6DX,21.0,active,33231.0,married,practical,soccer,76876.0,no response,urban
3NquLfXN,61.0,active,99554.0,single,practical,badminton,65005.0,response,rural
g9IgbAjm,35.0,active,15002.0,married,practical,athletics,148310.0,response,urban
kt3pwk4q,56.0,active,27849.0,married,expensive,,121091.0,no response,rural
3UVSoSIy,31.0,active,40257.0,single,practical,soccer,29692.0,no response,rural
j0eTu209,27.0,cozily,22132.0,married,expensive,,146527.0,response,urban
1kLwPVOs,17.0,cozily,75587.0,single,expensive,soccer,124502.0,no response,rural
QnSTGKiN,24.0,healthy,93920.0,single,expensive,soccer,66142.0,no response,rural
0cphf9Vx,19.0,active,10246.0,single,expensive,soccer,73525.0,response,rural
1oupt5eN,37.0,healthy,88048.0,married,practical,athletics,72318.0,no response,urban
UOznhlU1,60.0,healthy,70658.0,married,expensive,,120778.0,response,rural
8zYGk0Xn,62.0,active,64030.0,married,practical,soccer,77130.0,no response,urban
sDjL5PdL,59.0,cozily,91079.0,single,expensive,,59670.0,response,rural
zZkiEtL6,46.0,healthy,64789.0,married,expensive,athletics,97758.0,no response,rural
Z3m2dTzd,35.0,cozily,55359.0,single,expensive,athletics,77189.0,no response,urban
jXSOGoJb,27.0,cozily,31777.0,single,expensive,,29220.0,no response,urban
fzaohBZH,52.0,healthy,10685.0,married,expensive,soccer,130660.0,response,rural
7YP8avIy,44.0,active,11454.0,married,practical,soccer,108923.0,response,rural
RVmXL3Li,42.0,active,98352.0,married,practical,,28956.0,no response,rural
4VTECUqg,36.0,cozily,43081.0,single,practical,athletics,30367.0,no response,urban
YVFAbqKe,66.0,healthy,53273.0,single,practical,,32622.0,response,urban
COZcWwNq,41.0,healthy,87654.0,married,practical,,64434.0,no response,urban
NLzuLxI0,17.0,healthy,16505.0,married,practical,badminton,60330.0,no response,urban
HpIbWYrE,43.0,cozily,95082.0,married,practical,athletics,38593.0,no response,urban
dqBrnKVb,49.0,active,56796.0,single,practical,soccer,102523.0,no response,urban
sZioyspX,30.0,cozily,43051.0,married,practical,athletics,46899.0,no response,urban
GgWTcEhn,17.0,active,37128.0,single,practical,athletics,72945.0,response,urban
eZHCAEVM,66.0,active,30986.0,married,practical,athletics,133074.0,response,urban
3Gnkm6ZO,24.0,healthy,41721.0,married,practical,athletics,108721.0,no response,urban
hqoByCLE,20.0,cozily,36773.0,married,expensive,athletics,84842.0,no response,urban
ASpRMxey,45.0,cozily,13705.0,married,expensive,athletics,91291.0,response,urban
TcqJOwK6,41.0,active,14651.0,married,expensive,soccer,56143.0,response,rural
K7GBlFO2,42.0,healthy,42214.0,single,expensive,athletics,29581.0,no response,rural
vBQ0wTRp,65.0,active,41279.0,single,practical,badminton,67765.0,response,rural
tMKisFg0,28.0,cozily,96857.0,married,expensive,soccer,101874.0,no response,urban
QkE1EXUx,39.0,cozily,51159.0,single,expensive,,109136.0,no response,urban
l6rYtSOQ,19.0,healthy,99182.0,married,expensive,soccer,143546.0,response,urban
UuPOJRma,18.0,active,45527.0,single,expensive,soccer,149809.0,response,urban
Y8nigDHy,67.0,cozily,79635.0,single,practical,athletics,77583.0,response,urban
wKKJ0vIl,45.0,cozily,93331.0,married,expensive,badminton,84301.0,no response,urban
L2stypTa,64.0,cozily,43001.0,single,practical,athletics,60618.0,no response,urban
rM6f0Wvf,35.0,healthy,11940.0,married,expensive,soccer,125419.0,response,rural
QbIgdHhG,66.0,active,10591.0,single,expensive,badminton,28406.0,response,rural
Ed9DtElK,42.0,active,24430.0,married,practical,badminton,131904.0,no response,urban
i5nmAVj4,43.0,active,37243.0,married,practical,,130405.0,no response,urban
arVgNNAW,54.0,healthy,77409.0,single,practical,athletics,20832.0,no response,urban
PjytxIgQ,20.0,cozily,60981.0,married,practical,badminton,45974.0,no response,urban
S2LHgJ62,21.0,cozily,61865.0,married,practical,soccer,83402.0,no response,rural
KPrrctk2,16.0,active,93100.0,married,practical,badminton,111256.0,no response,urban
d4UxrQhM,63.0,healthy,87215.0,single,practical,athletics,39121.0,response,urban
273ww5t0,32.0,active,53604.0,single,expensive,soccer,66720.0,no response,urban
cWHkNex7,45.0,active,93320.0,single,practical,soccer,96099.0,no response,rural
MiFCRpRJ,42.0,active,24618.0,single,expensive,soccer,43308.0,no response,rural
ekrlrahi,67.0,cozily,70173.0,married,expensive,,114732.0,response,urban
enGjI27s,45.0,cozily,77954.0,single,practical,badminton,46615.0,no response,rural
iqX0zFPd,69.0,healthy,83269.0,single,expensive,athletics,87810.0,response,urban
5xQWP7v4,23.0,active,21580.0,married,practical,athletics,114741.0,no response,rural
Pnoj3Ps9,50.0,active,89503.0,married,practical,soccer,59293.0,no response,rural
i4UfC7mj,69.0,cozily,60351.0,married,expensive,athletics,92938.0,response,urban
A9BLlzmW,49.0,active,25102.0,married,practical,soccer,121728.0,no response,urban
riE0925e,23.0,healthy,54798.0,single,practical,,88450.0,no response,rural
fWCXldV0,61.0,healthy,42208.0,single,expensive,badminton,103518.0,response,rural
6ZSUMdhS,42.0,active,19799.0,married,practical,badminton,70656.0,no response,rural
JeCKj4zK,22.0,healthy,92513.0,married,practical,athletics,107623.0,no response,urban
dKy7yAsZ,40.0,healthy,34336.0,single,expensive,soccer,28927.0,no response,urban
1is4KCIA,56.0,active,62158.0,married,expensive,,135959.0,response,rural
FuVSitCY,30.0,healthy,19728.0,married,expensive,athletics,57473.0,no response,rural
YU3LDay5,31.0,active,21515.0,single,expensive,athletics,69189.0,no response,urban
30LBe4rl,30.0,active,25866.0,married,expensive,athletics,100624.0,no response,urban
KfNlcrW4,37.0,active,16059.0,married,expensive,athletics,99343.0,no response,urban
nJx4mBVo,40.0,cozily,81643.0,married,expensive,,132506.0,no response,rural
S5FPwMl5,30.0,active,58190.0,married,practical,soccer,120294.0,no response,urban
sQhM8WQT,61.0,healthy,25739.0,single,practical,soccer,43450.0,response,urban
Ao0RI5TV,27.0,healthy,59802.0,single,expensive,athletics,77260.0,no response,urban
vq8zpuhr,24.0,active,41036.0,married,expensive,badminton,130994.0,no response,rural
0FDiWKNV,64.0,cozily,90988.0,single,expensive,soccer,33649.0,response,rural
h1MuNe09,43.0,cozily,36818.0,married,expensive,badminton,89340.0,no response,rural
a5N07ozO,37.0,healthy,41663.0,married,expensive,athletics,56128.0,no response,urban
GBU3qEZe,65.0,cozily,30199.0,single,expensive,athletics,47182.0,response,urban
1tJFwkkI,57.0,cozily,37416.0,single,expensive,,140468.0,response,urban
1n1dISrP,65.0,active,25706.0,married,practical,athletics,62001.0,response,urban
QZA5yqEX,47.0,active,47944.0,married,expensive,soccer,29867.0,no response,rural
UnRW1eIc,48.0,active,62741.0,married,practical,,87365.0,no response,urban
E0f88MUz,49.0,healthy,27502.0,married,practical,athletics,30777.0,no response,urban
HppKWUf8,49.0,cozily,94791.0,married,expensive,badminton,54975.0,no response,urban
34vN3ogk,61.0,active,45774.0,single,expensive,badminton,30018.0,response,urban
qOaolruf,35.0,cozily,82423.0,single,practical,soccer,66330.0,no response,urban
Tb7Juu5A,22.0,active,95873.0,married,practical,badminton,91423.0,no response,urban
9zh6hajd,59.0,healthy,74243.0,single,expensive,soccer,113662.0,response,urban
WEAsLDKb,17.0,active,60862.0,married,expensive,athletics,149552.0,response,rural
KX5OMxwM,55.0,active,53199.0,single,practical,soccer,67874.0,no response,urban
MJQLSCj4,45.0,healthy,61952.0,single,practical,badminton,71735.0,response,urban
ZAkPUI55,16.0,active,15470.0,single,expensive,athletics,20508.0,no response,rural
cOezXCWx,54.0,healthy,20509.0,married,expensive,badminton,124165.0,no response,rural
SlBQ2PyC,38.0,healthy,92385.0,single,expensive,athletics,101225.0,no response,rural
R3JACCjb,28.0,healthy,25374.0,married,practical,soccer,125760.0,no response,rural
NUHR79QK,17.0,healthy,70269.0,single,practical,badminton,59356.0,no response,rural
uuX0knpz,40.0,active,54220.0,married,practical,,144941.0,response,rural
zbJSIinX,36.0,healthy,87994.0,single,practical,athletics,67654.0,no response,urban
yWPGGGmg,51.0,cozily,90757.0,married,expensive,soccer,41504.0,no response,urban
kCnjP7QI,41.0,cozily,75848.0,married,expensive,,136839.0,no response,urban
pkm22x6d,28.0,active,32727.0,married,practical,badminton,142791.0,response,urban
5D5FPKjN,39.0,healthy,66666.0,married,practical,soccer,60849.0,no response,urban
yo233Tet,54.0,healthy,20172.0,single,practical,athletics,74653.0,no response,urban
Fpmu5QRd,42.0,active,35598.0,married,expensive,,21952.0,no response,urban
Og1QZZtA,54.0,healthy,34543.0,single,practical,,74871.0,no response,urban
yHOtHkPE,24.0,cozily,23000.0,single,practical,badminton,127607.0,no response,rural
aNx1urLy,43.0,cozily,67960.0,single,expensive,athletics,123523.0,no response,rural
AlWLZNNy,24.0,healthy,45640.0,single,expensive,soccer,127923.0,no response,rural
Titkywlw,22.0,cozily,92131.0,married,expensive,soccer,131460.0,no response,rural
AqiSVf3M,29.0,cozily,44907.0,married,practical,soccer,58028.0,no response,urban
JAsarCfy,17.0,healthy,16494.0,married,expensive,athletics,124011.0,no response,urban
F92ipBIE,40.0,healthy,66449.0,single,practical,athletics,147350.0,response,rural
tb3MsI5q,15.0,healthy,29734.0,married,practical,athletics,44627.0,no response,rural
CvEeTBOy,15.0,healthy,40126.0,married,practical,,131415.0,no response,urban
EmyTRpUJ,20.0,cozily,79890.0,married,expensive,athletics,59059.0,no response,urban
JbOv5RpQ,51.0,active,88540.0,married,expensive,soccer,57813.0,no response,rural
sLS3LP0x,24.0,active,98162.0,single,practical,soccer,47708.0,no response,urban
oahHP9M0,24.0,cozily,24008.0,single,practical,athletics,80559.0,no response,urban
UMOeUxHp,17.0,healthy,34082.0,single,practical,soccer,117938.0,no response,urban
dl9xGNMt,34.0,cozily,90268.0,married,expensive,badminton,119518.0,no response,urban
RFH5myw0,42.0,active,69390.0,married,practical,,69135.0,no response,rural
zmFQLxt2,16.0,active,35920.0,married,expensive,soccer,100588.0,no response,rural
TbLWBmUU,69.0,active,13286.0,married,expensive,soccer,42127.0,response,rural
J4y8A4xt,51.0,cozily,76872.0,single,practical,badminton,125140.0,no response,urban
E05FuJCz,54.0,active,78257.0,single,expensive,badminton,68121.0,no response,urban
twEwPLux,22.0,active,43112.0,single,practical,badminton,31347.0,no response,rural
02O08suQ,63.0,healthy,90052.0,married,practical,badminton,27722.0,no response,urban
xFuuZDbm,23.0,healthy,79239.0,married,practical,,58863.0,no response,urban
GLzGXlZl,37.0,cozily,89682.0,single,expensive,,43391.0,no response,rural
nDOtebAy,60.0,cozily,39148.0,married,practical,,83967.0,response,rural
BigiaVHU,17.0,cozily,48328.0,married,expensive,athletics,138623.0,no response,rural
OJIbMpif,15.0,active,47947.0,married,expensive,athletics,78094.0,no response,urban
xAtlgQgp,63.0,healthy,77613.0,single,practical,badminton,125353.0,response,rural
UARevKVC,63.0,cozily,11645.0,married,expensive,athletics,109053.0,response,urban
Yl37fXla,40.0,cozily,99484.0,married,practical,athletics,33965.0,no response,rural
mpvRe2gB,62.0,active,57302.0,married,practical,,96719.0,no response,urban
rTQRDVHV,53.0,cozily,54001.0,married,expensive,athletics,42563.0,no response,urban
EFW2wPUd,23.0,active,46091.0,single,expensive,badminton,87930.0,no response,urban
blgRsgOo,44.0,healthy,19235.0,married,expensive,athletics,34438.0,no response,urban
tiGUCYEZ,56.0,active,53719.0,married,expensive,athletics,130857.0,response,urban
6cIUttLG,28.0,cozily,87261.0,married,expensive,,130624.0,no response,urban
dOuu6wHk,17.0,cozily,75701.0,married,expensive,soccer,81520.0,no response,rural
mMtbaGOC,28.0,active,18022.0,married,practical,badminton,27646.0,no response,urban
NBUJJYLG,43.0,active,77257.0,married,practical,athletics,140901.0,response,urban
Q7FOWtbx,69.0,healthy,30748.0,single,expensive,athletics,37805.0,response,urban
xHL28m77,59.0,healthy,55284.0,married,practical,,147055.0,response,urban
SnQ3Wx7a,43.0,healthy,88980.0,single,practical,soccer,75037.0,no response,urban
occBvfs4,34.0,cozily,11018.0,married,practical,athletics,29496.0,response,urban
knDJdmUP,31.0,cozily,76266.0,single,practical,soccer,64364.0,no response,urban
uj9WgGxI,36.0,cozily,27823.0,single,practical,soccer,111556.0,no response,rural
XGJaTNZu,40.0,healthy,94808.0,married,practical,athletics,122696.0,no response,urban
XlZIKH9H,56.0,healthy,76681.0,single,practical,badminton,60422.0,response,urban
be4VJqF2,37.0,healthy,65815.0,married,expensive,,37982.0,no response,urban
2VK7kRiZ,32.0,healthy,21949.0,single,practical,athletics,49800.0,no response,rural
GjMgu5Nj,45.0,healthy,87672.0,married,practical,soccer,108270.0,no response,urban
i4CT2swV,69.0,healthy,71283.0,single,practical,badminton,92094.0,response,rural
ujkwEAHy,37.0,active,36068.0,single,expensive,,85153.0,no response,urban
vnxLwDyy,22.0,healthy,75929.0,married,expensive,athletics,135750.0,no response,urban
PPEpH5d4,37.0,active,15274.0,married,practical,soccer,92958.0,no response,urban
PYzouZPE,22.0,healthy,66608.0,married,expensive,soccer,67984.0,no response,urban
cvo1raHz,45.0,cozily,11096.0,married,expensive,soccer,29223.0,response,urban
snA828ba,39.0,active,43521.0,single,expensive,badminton,95979.0,no response,rural
W6eXrmEl,25.0,active,73679.0,married,expensive,,95463.0,no response,urban
K43wSojm,36.0,healthy,68120.0,married,practical,badminton,85490.0,no response,rural
X9LfR5F1,46.0,healthy,74775.0,single,practical,soccer,81395.0,no response,urban
pE3VYMQi,20.0,healthy,55663.0,married,practical,,57551.0,no response,urban
JHXleQhH,30.0,cozily,48487.0,married,expensive,athletics,22877.0,no response,urban
s45lcuGD,50.0,cozily,60386.0,single,practical,athletics,129856.0,no response,urban
8ZUbloFH,22.0,active,82484.0,single,practical,badminton,84565.0,no response,urban
GwtXk5RP,46.0,healthy,14393.0,married,expensive,badminton,94171.0,no response,urban
CozzBkkQ,38.0,cozily,30926.0,single,practical,soccer,103864.0,no response,urban
lnb7eVZM,19.0,cozily,27757.0,married,practical,badminton,51171.0,no response,rural
UZxSn7lh,69.0,healthy,45294.0,married,practical,badminton,115754.0,response,urban
KhcC14sY,41.0,active,60815.0,single,practical,soccer,63810.0,no response,urban
GJe5pGDD,53.0,healthy,69927.0,single,expensive,athletics,21814.0,no response,urban
JkIwiyCM,24.0,active,60877.0,single,expensive,badminton,143486.0,response,urban
vZcTa19Z,60.0,active,27174.0,married,practical,badminton,137080.0,no response,urban
JF84BXYn,16.0,active,36209.0,married,practical,soccer,129086.0,no response,rural
HRaQBkKI,55.0,active,24677.0,married,expensive,athletics,47464.0,no response,rural
r4VY4mFV,58.0,cozily,33500.0,single,practical,,23168.0,response,rural
DhYiCMRg,62.0,cozily,35069.0,married,practical,badminton,32535.0,response,urban
AeyoWDEN,69.0,healthy,37703.0,married,practical,,70106.0,response,rural
YbuthpjR,17.0,healthy,55945.0,single,expensive,badminton,129216.0,no response,urban
aJKK6tim,69.0,healthy,60497.0,single,expensive,athletics,124990.0,response,urban
N0eNrPgP,50.0,active,68326.0,single,expensive,soccer,33684.0,no response,urban
qGFrHmtT,49.0,active,92896.0,married,practical,athletics,55276.0,no response,urban
XWHnkyL4,59.0,active,59634.0,single,expensive,badminton,56872.0,response,urban
a5k7VN8P,47.0,cozily,84952.0,single,expensive,athletics,99958.0,no response,urban
Jbyz0ICI,27.0,active,73045.0,married,practical,athletics,138876.0,no response,urban
ypzCl2mi,39.0,active,38488.0,single,practical,badminton,131862.0,no response,rural
L636oyq9,66.0,cozily,37568.0,married,practical,athletics,35934.0,response,urban
Gq52Yb0I,31.0,active,62677.0,married,practical,athletics,134906.0,no response,urban
2f3zn2xf,49.0,cozily,39478.0,married,expensive,badminton,90815.0,no response,urban
CEZTFJPe,21.0,cozily,30242.0,single,expensive,athletics,54028.0,no response,urban
EaUU1zeW,45.0,active,46337.0,married,practical,badminton,23933.0,no response,urban
Y7dcow9w,42.0,active,40484.0,single,practical,,93333.0,no response,urban
rzzGu1al,28.0,active,59642.0,married,expensive,athletics,115160.0,no response,urban
0at5nE4l,50.0,cozily,61197.0,single,expensive,athletics,117431.0,no response,rural
d36LXwA1,27.0,healthy,20022.0,single,expensive,athletics,77348.0,response,urban
VsozHloy,34.0,active,84582.0,single,expensive,badminton,28611.0,no response,urban
CvFck5BY,38.0,cozily,44069.0,single,expensive,badminton,107938.0,no response,rural
w3v4Avl9,37.0,active,74633.0,single,practical,athletics,112705.0,no response,urban
S9yABF7q,32.0,cozily,52287.0,married,practical,,20524.0,no response,urban
Z5G3KnFd,33.0,healthy,98545.0,married,practical,badminton,41979.0,no response,rural
